# curie_map:										
#   aio: http://w3id.org/sssom/unknown_prefix/aio/										
#   cso: http://w3id.org/sssom/unknown_prefix/cso/										
#   oio: http://www.geneontology.org/formats/oboInOwl#										
#   owl: http://www.w3.org/2002/07/owl#										
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#										
#   rdfs: http://www.w3.org/2000/01/rdf-schema#										
#   semapv: https://w3id.org/semapv/vocab/										
#   skos: http://www.w3.org/2004/02/skos/core#										
#   sssom: https://w3id.org/sssom/										
# license: https://w3id.org/sssom/license/unspecified										
# mapping_set_id: https://w3id.org/sssom/mappings/98ce935b-061f-4458-9166-ab544a218b78										
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
EDAM:data_2600	Pathway or network	skos:closeMatch	https://w3id.org/aio/Network	Network	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	network
EDAM:format_3602	pgm	skos:closeMatch	https://w3id.org/aio/ProbabilisticGraphicalModel	Probabilistic Graphical Model	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	pgm
EDAM:format_3988	LSM	skos:closeMatch	https://w3id.org/aio/LiquidStateMachineNetwork	Liquid State Machine Network	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	lsm
EDAM:operation_0004	Operation	skos:closeMatch	https://w3id.org/aio/Function	Mathematical Function	semapv:LexicalMatching	oaklib	0.5	oio:hasBroadSynonym	rdfs:label	mathematical function
EDAM:operation_2990	Classification	skos:closeMatch	https://w3id.org/aio/Classification	Classification	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	classification
EDAM:operation_3432	Clustering	skos:closeMatch	https://w3id.org/aio/Clustering	Clustering	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	clustering
EDAM:operation_3557	Imputation	skos:closeMatch	https://w3id.org/aio/DataImputation	Data Imputation	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	data imputation
EDAM:operation_3659	Regression analysis	skos:closeMatch	https://w3id.org/aio/RegressionAnalysis	Regression Analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasExactSynonym	regression analysis
EDAM:operation_3935	Dimensionality reduction	skos:closeMatch	https://w3id.org/aio/DimensionalityReduction	Dimensionality Reduction	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	dimension reduction
EDAM:operation_3937	Feature extraction	skos:closeMatch	https://w3id.org/aio/FeatureExtraction	Feature Extraction	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	feature extraction
EDAM:operation_3960	Principal component analysis	skos:closeMatch	https://w3id.org/aio/PrincipalComponentAnalysis	Principal Component Analysis	semapv:LexicalMatching	oaklib	0.5	rdfs:label	rdfs:label	principal component analysis
EDAM:topic_0218	Natural language processing	skos:closeMatch	https://w3id.org/aio/NaturalLanguageProcessing	Natural Language Processing	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasExactSynonym	nlp
EDAM:topic_0219	"Data submission, annotation and curation"	skos:closeMatch	https://w3id.org/aio/DataPreparation	Data Preparation	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasExactSynonym	data curation
EDAM:topic_3474	Machine learning	skos:closeMatch	https://w3id.org/aio/ActiveLearning	Machine Learning Task	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	rdfs:label	machine learning task
EDAM:topic_3572	Data quality management	skos:closeMatch	https://w3id.org/aio/Cleaning	Cleaning	semapv:LexicalMatching	oaklib	0.5	oio:hasNarrowSynonym	oio:hasRelatedSynonym	data cleaning
